一級,一,二,三,四,五,固定不方便,三級,一,二,三,四,五
護理（盡量一三）,X,,,,,臨時不方便,生工,,,,,
電機,,,,,,,生科,,,,,
植昆,X,,,,,,藥學,,,,,
中文,,,,,,,獸醫,,,,,
土木,XX,,,,,,圖資,,,,,
動科,,,,,,,國企 ,,,,,
機械Ａ,,,,,,,森林,,,,,
化工Ａ,XX,,,,,,日劇,,,,,
法律Ａ,,,,,,,經濟Ａ,,,,,
社聯,X,,,,,,化工Ｂ,,,,,
政治Ａ,,,,,,,材料生機,,,,,
,,,,,,,,,,,,
二級,ㄧ,二,三,四,五,,四級,ㄧ,二,三,四,五
大氣,,,,,,,地質,,,,,
外文,,,,,,,歷史,,,,,
財金,X,,,,,,工管,,,,,
資管,X,,,,,,農藝,,,,,
會計,X,,,,,,園藝,,,,,
資工,,,,,,,工海,,,,,
公衛,,,,,,,生傳,,,,,
心理,,,,,,,法律Ｂ,,,,,
物職,X,,,,,,機械Ｂ,,,,,
農化生技,,,,,,,政治Ｂ,,,,,
人哲,,,,,,,經濟Ｂ,,,,,
,,,,,,,,,,,,